,0,1,2,3,4,Recovered,start,Death
0,0.7309941520467836,0,0,0,0,0.03216374269005848,0,0.23684210526315788
1,0,0.27652173913043476,0.6034782608695652,0.03304347826086956,0.034782608695652174,0.04695652173913043,0,0.0052173913043478265
2,0.002571638501102131,0.036737692872887584,0.43387215282880237,0.07825128581925055,0.022409992652461425,0.42321822189566494,0,0.0029390154298310064
3,0,0.05783132530120482,0.6208835341365462,0.18072289156626506,0.04899598393574297,0.09156626506024096,0,0
4,0,0.06153846153846154,0.7661538461538462,0.04923076923076923,0.1076923076923077,0.015384615384615385,0,0
Recovered,0,0,0,0,0,0,0,0
start,0.06067094932191292,0.15988579586009993,0.12276945039257674,0.5510349750178444,0.10563882940756603,0,0,0
Death,0,0,0,0,0,0,0,0
