,0,1,2,3,4,Recovered,start,Death
0,0.5666666666666667,0,0,0,0,0.03333333333333333,0,0.4
1,0,0.1409090909090909,0.5,0.00909090909090909,0.02727272727272727,0.30454545454545456,0,0.01818181818181818
2,0,0.01330603889457523,0.3193449334698055,0.037871033776867964,0.01842374616171955,0.6079836233367452,0,0.0030706243602865915
3,0,0.045454545454545456,0.5333333333333333,0.13333333333333333,0.048484848484848485,0.23939393939393938,0,0
4,0,0.0457516339869281,0.6078431372549019,0.0457516339869281,0.0915032679738562,0.20915032679738563,0,0
Recovered,0,0,0,0,0,0,0,0
start,0.05714285714285714,0.15274725274725276,0.12087912087912088,0.578021978021978,0.0912087912087912,0,0,0
Death,0,0,0,0,0,0,0,0
