,0,1,2,3,4,Recovered,start,Death
0,0.7083333333333334,0,0,0,0,0.05324074074074074,0,0.23842592592592593
1,0,0.26040554962646745,0.5144076840981857,0.08858057630736393,0.054429028815368194,0.07897545357524013,0,0.0032017075773745998
2,0.004496713939813214,0.07229332410930474,0.40781736423382914,0.08578346592874438,0.016257350397786235,0.4050501556554825,0,0.008301625735039779
3,0.005982905982905983,0.06153846153846154,0.541025641025641,0.19658119658119658,0.07179487179487179,0.12307692307692308,0,0
4,0,0.08211143695014662,0.41055718475073316,0.14076246334310852,0.2404692082111437,0.12609970674486803,0,0
Recovered,0,0,0,0,0,0,0,0
start,0.06687697160883281,0.24227129337539433,0.2883280757097792,0.35394321766561515,0.04858044164037855,0,0,0
Death,0,0,0,0,0,0,0,0
