,0,1,2,3,4,Recovered,start,Death
0,0.5862068965517241,0,0,0,0,0.034482758620689655,0,0.3793103448275862
1,0,0.043478260869565216,0.6260869565217392,0.12173913043478261,0.043478260869565216,0.16521739130434782,0,0
2,0,0.004454342984409799,0.3775055679287305,0.09242761692650334,0.01670378619153675,0.5089086859688196,0,0
3,0,0.06515151515151515,0.49393939393939396,0.14393939393939395,0.10909090909090909,0.18787878787878787,0,0
4,0,0.039473684210526314,0.5921052631578947,0.017543859649122806,0.14473684210526316,0.20614035087719298,0,0
Recovered,0,0,0,0,0,0,0,0
start,0.03576751117734724,0.08047690014903129,0.038748137108792845,0.6915052160953801,0.15350223546944858,0,0,0
Death,0,0,0,0,0,0,0,0
