,0,1,2,3,4,Recovered,start,Death
0,0.7250755287009063,0,0,0,0,0.03323262839879154,0,0.24169184290030213
1,0,0.1827956989247312,0.6709677419354839,0.021505376344086023,0.043010752688172046,0.07526881720430108,0,0.0064516129032258064
2,0.0026985350809560524,0.028912875867386275,0.4325366229760987,0.07363145720894372,0.02081727062451812,0.43831919814957593,0,0.0030840400925212026
3,0,0.05690376569037657,0.6343096234309623,0.17656903765690377,0.05104602510460251,0.08117154811715481,0,0
4,0,0.0641025641025641,0.7596153846153846,0.04487179487179487,0.09935897435897435,0.03205128205128205,0,0
Recovered,0,0,0,0,0,0,0,0
start,0.0608254887762491,0.15713251267197684,0.11947863866763216,0.556842867487328,0.1057204923968139,0,0,0
Death,0,0,0,0,0,0,0,0
