,0,1,2,3,4,Recovered,start,Death
0,0.6445497630331753,0,0,0,0,0.05687203791469194,0,0.2985781990521327
1,0.005172413793103448,0.20517241379310344,0.5724137931034483,0.08103448275862069,0.06379310344827586,0.06551724137931035,0,0.006896551724137931
2,0.0010877447425670776,0.03915881073241479,0.4173313995649021,0.08701957940536621,0.009064539521392313,0.43981145757795503,0,0.006526468455402465
3,0.0020215633423180594,0.0431266846361186,0.5734501347708895,0.17452830188679244,0.10377358490566038,0.10309973045822103,0,0
4,0,0.05162523900573614,0.6653919694072657,0.10325047801147227,0.12810707456978968,0.05162523900573614,0,0
Recovered,0,0,0,0,0,0,0,0
start,0.04319371727748691,0.17146596858638743,0.049738219895287955,0.5785340314136126,0.15706806282722513,0,0,0
Death,0,0,0,0,0,0,0,0
