,0,1,2,3,4,Recovered,start,Death
0,0.43902439024390244,0,0,0,0,0.0975609756097561,0,0.4634146341463415
1,0.010869565217391304,0.17028985507246377,0.4166666666666667,0.07971014492753623,0.09420289855072464,0.213768115942029,0,0.014492753623188406
2,0,0.016835016835016835,0.33585858585858586,0.050505050505050504,0.015151515151515152,0.569023569023569,0,0.012626262626262626
3,0.0036275695284159614,0.041112454655380895,0.4619105199516324,0.13301088270858524,0.13301088270858524,0.22732769044740025,0,0
4,0,0.04046242774566474,0.653179190751445,0.06936416184971098,0.07803468208092486,0.15895953757225434,0,0
Recovered,0,0,0,0,0,0,0,0
start,0.038350910834132314,0.15436241610738255,0.06327900287631831,0.585810162991371,0.15819750719079578,0,0,0
Death,0,0,0,0,0,0,0,0
