,0,1,2,3,4,Recovered,start,Death
0,0.5607476635514018,0,0,0,0,0.08411214953271028,0,0.35514018691588783
1,0,0.1964735516372796,0.5667506297229219,0.060453400503778336,0.030226700251889168,0.14609571788413098,0,0
2,0.00804289544235925,0.05361930294906166,0.33958891867739055,0.017873100983020553,0.004468275245755138,0.5683646112600537,0,0.00804289544235925
3,0,0.08458646616541353,0.6672932330827067,0.10150375939849623,0.022556390977443608,0.12406015037593984,0,0
4,0,0.05970149253731343,0.746268656716418,0.08955223880597014,0.04477611940298507,0.05970149253731343,0,0
Recovered,0,0,0,0,0,0,0,0
start,0.046341463414634146,0.25609756097560976,0.1329268292682927,0.5219512195121951,0.042682926829268296,0,0,0
Death,0,0,0,0,0,0,0,0
