,0,1,2,3,4,Recovered,start,Death
0,0.6133333333333333,0,0,0,0,0.1,0,0.2866666666666667
1,0,0.20045045045045046,0.581081081081081,0.06531531531531531,0.02027027027027027,0.13288288288288289,0,0
2,0.011005135730007337,0.05796038151137197,0.3991195891415994,0.019075568598679385,0.003668378576669112,0.5025678650036683,0,0.006603081438004402
3,0,0.0843585237258348,0.6660808435852372,0.10720562390158173,0.022847100175746926,0.1195079086115993,0,0
4,0,0.0547945205479452,0.7671232876712328,0.0821917808219178,0.0410958904109589,0.0547945205479452,0,0
Recovered,0,0,0,0,0,0,0,0
start,0.04869762174405436,0.2536806342015855,0.14269535673839184,0.5062287655719139,0.04869762174405436,0,0,0
Death,0,0,0,0,0,0,0,0
