,0,1,2,3,4,Recovered,start,Death
0,0.7030878859857482,0,0,0,0,0.05463182897862233,0,0.24228028503562946
1,0,0.2597402597402597,0.512987012987013,0.08874458874458875,0.05519480519480519,0.08008658008658008,0,0.003246753246753247
2,0.004699927693420101,0.07339117859725235,0.3882863340563991,0.0878524945770065,0.016992046276211134,0.4211858279103398,0,0.007592190889370932
3,0.006029285099052541,0.06201550387596899,0.537467700258398,0.19810508182601205,0.07235142118863049,0.12403100775193798,0,0
4,0,0.08211143695014662,0.41055718475073316,0.14076246334310852,0.2404692082111437,0.12609970674486803,0,0
Recovered,0,0,0,0,0,0,0,0
start,0.06666666666666667,0.2419047619047619,0.28825396825396826,0.35428571428571426,0.04888888888888889,0,0,0
Death,0,0,0,0,0,0,0,0
