,0,1,Death,2,start,Recovered
0,0.08333333333333333,0.25,0.25,0,0,0.4166666666666667
1,0.07228915662650602,0.1927710843373494,0.10843373493975904,0.024096385542168676,0,0.6024096385542169
Death,0,0,0,0,0,0
2,0,0.35294117647058826,0.058823529411764705,0,0,0.5882352941176471
start,0.18604651162790697,0.6395348837209303,0,0.1744186046511628,0,0
Recovered,0,0,0,0,0,0
