,0,1,Death,2,start,Recovered
0,0.48333333333333334,0.25666666666666665,0.18333333333333332,0,0,0.07666666666666666
1,0.14854517611026033,0.4900459418070444,0.08422664624808576,0.0444104134762634,0,0.2327718223583461
Death,0,0,0,0,0,0
2,0.16428571428571428,0.37142857142857144,0.07142857142857142,0.37857142857142856,0,0.014285714285714285
start,0.11784511784511785,0.6868686868686869,0,0.19528619528619529,0,0
Recovered,0,0,0,0,0,0
