,0,1,Death,2,start,Recovered
0,0.3364485981308411,0.37383177570093457,0.2616822429906542,0,0,0.028037383177570093
1,0.10614525139664804,0.4273743016759777,0.01675977653631285,0.0893854748603352,0,0.36033519553072624
Death,0,0,0,0,0,0
2,0.03260869565217391,0.45652173913043476,0.043478260869565216,0.2608695652173913,0,0.20652173913043478
start,0.15873015873015872,0.6507936507936508,0,0.19047619047619047,0,0
Recovered,0,0,0,0,0,0
