,0,1,Death,2,start,Recovered
0,0.43609022556390975,0.3082706766917293,0.22556390977443608,0,0,0.03007518796992481
1,0.09050772626931568,0.4988962472406181,0.006622516556291391,0.09050772626931568,0,0.31346578366445915
Death,0,0,0,0,0,0
2,0.02112676056338028,0.352112676056338,0.056338028169014086,0.4225352112676056,0,0.14788732394366197
start,0.14903846153846154,0.6538461538461539,0,0.1971153846153846,0,0
Recovered,0,0,0,0,0,0
