,0,1,Death,2,start,Recovered
0,0.3735632183908046,0.15517241379310345,0.3103448275862069,0,0,0.16091954022988506
1,0.16883116883116883,0.4103896103896104,0.09610389610389611,0.06493506493506493,0,0.2597402597402597
Death,0,0,0,0,0,0
2,0.14705882352941177,0.38235294117647056,0.06862745098039216,0.27450980392156865,0,0.12745098039215685
start,0.12133891213389121,0.6736401673640168,0,0.20502092050209206,0,0
Recovered,0,0,0,0,0,0
