,0,1,Death,2,start,Recovered
0,0.45627376425855515,0.24334600760456274,0.22433460076045628,0,0,0.07604562737642585
1,0.1678832116788321,0.43613138686131386,0.08211678832116788,0.05291970802919708,0,0.26094890510948904
Death,0,0,0,0,0,0
2,0.1323529411764706,0.38235294117647056,0.07352941176470588,0.36764705882352944,0,0.04411764705882353
start,0.1166077738515901,0.6819787985865724,0,0.20141342756183744,0,0
Recovered,0,0,0,0,0,0
