,0,1,Death,2,start,Recovered
0,0.43023255813953487,0.2877906976744186,0.21511627906976744,0,0,0.06686046511627906
1,0.184,0.5146666666666667,0.056,0.03866666666666667,0,0.20666666666666667
Death,0,0,0,0,0,0
2,0.16428571428571428,0.37142857142857144,0.07142857142857142,0.37857142857142856,0,0.014285714285714285
start,0.11437908496732026,0.696078431372549,0,0.1895424836601307,0,0
Recovered,0,0,0,0,0,0
